,barometric_pressure,humidity,temperature,wind_direction,wind_speed,solar_radiation
42,30.47,100.0,51.0,70.91,3.37,1.32
43,30.46,100.0,51.0,71.82,5.62,1.29
44,30.46,99.0,51.0,88.88,9.0,1.3
45,30.46,99.0,51.0,195.56,2.25,1.27
46,30.46,99.0,52.0,114.92,7.87,1.27
47,30.46,99.0,52.0,9.67,13.5,1.29
48,30.46,99.0,52.0,100.14,12.37,1.3
49,30.46,98.0,53.0,18.92,3.37,1.29
50,30.46,98.0,52.0,67.59,10.12,1.29
51,30.46,97.0,52.0,39.34,10.12,1.29
52,30.46,96.0,52.0,127.23,2.25,1.26
53,30.46,96.0,52.0,114.03,5.62,1.26
54,30.45,95.0,52.0,88.49,5.62,1.27
55,30.46,95.0,52.0,88.59,4.5,1.31
56,30.46,94.0,52.0,92.81,5.62,1.27
57,30.46,93.5,52.0,108.86,5.62,1.27
58,30.46,93.0,52.0,124.91,5.62,1.27
59,30.45,92.0,52.0,137.62,10.12,1.28
60,30.45,91.0,52.0,87.84,10.12,1.3
61,30.45,89.0,52.0,30.18,2.25,1.3
62,30.45,87.0,52.0,177.35,4.5,1.26
63,30.45,87.0,52.0,132.61,4.5,1.28
64,30.45,87.0,52.0,116.81,5.62,1.21
65,30.45,86.0,52.0,159.42,2.25,1.23
66,30.45,88.0,52.0,154.96,6.75,1.27
67,30.45,90.0,52.0,127.56,6.75,2.37
68,30.45,89.0,52.0,146.07,7.87,2.17
69,30.45,89.0,52.0,86.22,5.62,3.43
70,30.45,88.0,52.0,29.07,1.12,7.78
71,30.45,89.0,53.0,61.71,5.62,14.33
72,30.45,85.0,53.0,97.54,11.25,19.07
73,30.45,84.0,53.0,122.21,5.62,23.68
74,30.44,81.0,54.0,84.76,3.37,30.32
75,30.44,81.0,54.0,55.09,5.62,55.91
76,30.44,82.0,54.0,73.16,11.25,50.75
77,30.44,81.0,54.0,45.77,3.37,76.36
78,30.44,78.0,54.0,347.32,6.75,112.4
79,30.44,78.0,55.0,124.97,6.75,93.66
80,30.44,81.0,55.0,83.83,12.37,172.74
81,30.44,82.0,56.0,20.86,13.5,290.09
82,30.44,80.0,56.0,69.42,7.87,329.09
83,30.43,77.0,55.0,98.05,6.75,349.17
84,30.44,77.0,55.0,347.6,7.87,324.11
85,30.43,77.0,56.0,33.25,10.12,138.31
86,30.43,77.0,56.0,22.51,3.37,330.81
87,30.43,75.0,56.0,0.16,6.75,369.66
88,30.43,74.0,56.0,48.67,6.75,329.71
89,30.43,74.0,57.0,359.23,11.25,271.74
90,30.43,72.0,58.0,359.93,5.62,309.23
91,30.44,66.0,58.0,10.35,6.75,444.45
92,30.43,67.0,58.0,33.94,6.75,454.53
93,30.43,71.0,58.0,23.98,3.37,502.97
94,30.43,67.0,58.0,15.59,7.87,517.54
95,30.43,66.0,58.0,24.37,2.25,522.91
96,30.43,69.0,58.0,19.6,5.62,518.79
97,30.43,68.0,58.0,85.31,7.87,574.72
98,30.43,70.0,58.0,26.58,9.0,572.26
99,30.43,74.0,58.0,353.84,5.62,595.49
100,30.43,70.0,58.0,79.15,9.0,621.22
101,30.43,71.0,58.0,21.43,7.87,628.24
102,30.43,72.0,58.0,51.49,4.5,547.56
103,30.43,73.0,58.0,14.71,10.12,569.47
104,30.43,68.0,58.0,39.25,5.62,524.94
105,30.43,66.0,58.0,355.78,11.25,514.15
106,30.43,71.0,59.0,18.65,4.5,675.87
107,30.43,62.0,59.0,65.8,5.62,749.37
108,30.43,63.0,59.0,43.88,7.87,817.0
109,30.43,63.0,59.0,78.63,11.25,674.59
110,30.43,63.0,59.0,15.72,11.25,750.06
111,30.43,63.0,59.0,359.92,5.62,801.4
112,30.43,63.0,59.0,313.45,4.5,841.77
113,30.43,58.0,59.0,85.0,4.5,830.0
114,30.43,55.0,60.0,84.3,5.62,878.9
115,30.43,59.0,60.0,35.7,11.25,812.24
116,30.43,56.0,61.0,36.08,10.12,906.69
117,30.43,51.0,61.0,40.66,6.75,830.84
118,30.43,50.0,61.0,49.91,11.25,800.4
119,30.43,47.0,61.0,43.52,6.75,939.73
120,30.44,48.0,61.0,45.5,3.37,958.91
121,30.44,48.0,61.0,30.2,11.25,969.45
122,30.44,51.0,60.0,78.66,6.75,933.3
123,30.44,55.0,60.0,45.32,6.75,976.4
124,30.44,47.0,61.0,31.78,13.5,996.02
125,30.44,50.0,61.0,87.52,5.62,862.91
126,30.44,49.0,61.0,17.92,12.37,890.3
127,30.44,52.0,61.0,329.98,4.5,1004.16
128,30.44,55.0,61.0,32.85,5.62,983.67
129,30.45,58.0,61.0,17.28,6.75,953.01
130,30.45,58.0,60.0,91.94,10.12,1009.98
131,30.45,54.0,61.0,348.3,7.87,1012.23
132,30.45,56.0,60.0,26.84,7.87,972.14
133,30.45,54.0,60.0,76.02,12.37,1041.97
134,30.45,57.0,60.0,24.32,11.25,1040.74
135,30.45,56.0,60.0,57.21,9.0,1014.25
136,30.45,57.0,60.0,42.01,15.75,1057.74
137,30.46,62.0,60.0,247.26,6.75,1021.58
138,30.45,61.0,60.0,100.4,11.25,1047.09
139,30.46,61.0,61.0,15.96,7.87,1043.59
140,30.46,61.0,60.0,25.82,10.12,1046.08
141,30.46,65.0,60.0,12.6,10.12,1038.94
142,30.46,60.0,60.0,10.51,4.5,1046.76
143,30.46,62.0,60.0,29.54,14.62,1051.03
144,30.47,61.0,60.0,37.95,7.87,1044.4
145,30.47,57.0,60.0,64.16,7.87,1037.94
146,30.47,58.0,60.0,66.44,11.25,1036.31
147,30.47,52.0,61.0,66.69,7.87,1030.88
148,30.47,51.0,61.0,12.81,14.62,1029.94
149,30.47,52.0,61.0,19.17,11.245,1025.75
150,30.47,54.0,61.0,25.53,7.87,1021.56
151,30.47,54.0,61.0,43.4,7.87,1017.38
152,30.47,44.0,61.0,3.23,10.12,1012.12
153,30.47,49.0,61.0,29.36,13.5,1002.96
154,30.48,48.0,61.0,22.92,11.25,996.71
155,30.48,51.0,62.0,45.72,11.25,986.72
156,30.48,42.0,62.0,28.73,14.62,980.18
157,30.48,35.0,63.0,1.46,11.25,975.8
158,30.47,36.0,62.0,74.86,6.75,966.16
159,30.48,33.0,63.0,87.58,9.0,955.75
160,30.48,32.0,62.0,17.31,7.87,944.66
161,30.48,33.0,63.0,67.61,7.87,931.73
162,30.48,32.0,62.0,307.0,1.12,925.77
163,30.48,40.0,62.0,45.9,5.62,911.52
164,30.48,38.0,62.0,74.73,9.0,904.3
165,30.48,35.0,62.0,28.22,9.0,890.63
166,30.48,41.0,61.0,77.79,5.62,879.43
167,30.48,49.0,61.0,0.13,6.75,859.37
168,30.48,55.0,60.0,61.89,3.37,852.51
169,30.48,63.0,61.0,26.07,11.25,829.24
170,30.48,51.0,62.0,61.46,13.5,820.27
171,30.48,35.0,62.0,336.47,5.62,809.17
172,30.47,42.0,61.0,349.82,6.75,796.19
173,30.48,45.0,61.0,27.13,4.5,778.76
174,30.47,48.0,60.0,43.66,6.75,768.55
175,30.47,54.0,60.0,20.62,4.5,666.99
176,30.47,57.0,59.0,15.65,3.37,736.65
177,30.47,57.0,59.0,0.16,3.37,719.47
178,30.47,60.0,58.0,12.94,4.5,699.87
179,30.47,67.0,58.0,54.21,5.62,682.68
180,30.47,68.0,58.0,21.78,4.5,657.82
181,30.47,66.0,59.0,46.88,7.87,644.33
182,30.47,60.0,58.0,121.72,2.25,623.85
183,30.47,65.0,57.0,114.8,5.62,600.25
184,30.47,68.0,57.0,71.41,3.37,585.4
185,30.47,71.0,56.0,82.54,9.0,565.62
186,30.47,73.0,56.0,95.92,5.62,512.76
187,30.47,66.0,56.0,81.73,1.12,525.48
188,30.47,65.0,55.0,51.2,5.62,502.19
189,30.47,68.0,55.0,79.05,2.25,461.66
190,30.46,59.0,54.0,113.48,1.12,461.63
191,30.46,64.0,54.0,102.02,4.5,439.99
192,30.46,64.0,53.0,123.39,9.0,391.13
193,30.46,75.0,53.0,112.39,5.62,391.64
194,30.46,57.0,53.0,141.08,4.5,373.28
195,30.46,50.0,53.0,120.42,5.62,357.71
196,30.46,51.0,52.0,97.13,2.25,339.3
197,30.46,39.0,51.0,161.37,4.5,313.53
198,30.46,42.0,50.0,117.74,3.37,272.45
199,30.46,43.0,49.0,125.16,5.62,263.02
200,30.46,41.0,48.0,89.99,2.25,212.79
201,30.46,42.0,48.0,120.7,4.5,96.06
202,30.46,38.0,47.0,97.51,5.62,32.01
203,30.45,36.0,46.0,166.14,1.12,28.89
204,30.45,36.0,46.0,177.23,4.5,27.11
205,30.45,35.0,46.0,163.01,4.5,26.42
206,30.45,36.0,45.0,142.77,3.37,24.9
207,30.45,36.0,45.0,160.36,6.75,22.56
208,30.45,35.0,45.0,172.18,4.5,19.61
209,30.45,34.0,45.0,176.46,5.62,16.44
210,30.45,34.0,45.0,158.21,7.87,13.08
211,30.45,34.0,45.0,203.65,7.87,9.7
212,30.44,34.0,45.0,157.04,6.75,6.12
213,30.44,34.0,45.0,176.79,5.62,4.63
214,30.44,35.0,45.0,177.44,6.75,2.97
215,30.44,34.0,45.0,156.33,5.62,1.24
216,30.44,35.0,45.0,172.55,6.75,1.19
217,30.43,35.0,45.0,173.57,5.62,1.19
218,30.43,36.0,45.0,170.35,5.62,1.2
219,30.43,36.0,45.0,178.84,5.62,1.19
220,30.43,36.0,45.0,170.13,5.62,1.2
221,30.43,36.0,45.0,181.38,6.75,1.22
222,30.43,35.0,45.0,165.23,6.75,1.2
223,30.43,36.0,45.0,183.85,5.62,1.22
224,30.43,35.0,45.0,149.04,5.62,1.22
225,30.43,35.0,45.0,163.8,5.62,1.16
226,30.43,35.0,45.0,155.12,6.75,1.19
227,30.43,35.0,45.0,165.66,5.62,1.23
228,30.43,35.0,45.0,196.05,6.75,1.19
229,30.42,36.0,45.0,163.13,6.75,1.22
230,30.43,36.0,45.0,169.62,6.75,1.21
231,30.42,35.0,45.0,172.94,7.87,1.2
232,30.42,35.0,45.0,151.3,7.87,1.23
233,30.43,35.0,46.0,158.94,6.75,1.2
234,30.43,34.0,46.0,157.96,6.75,1.2
235,30.42,33.0,46.0,156.98,6.75,1.18
236,30.42,33.0,46.0,156.64,5.62,1.2
237,30.42,32.0,46.0,154.49,6.75,1.23
238,30.42,33.0,46.0,179.34,5.62,1.2
239,30.42,33.0,46.0,176.76,4.5,1.21
240,30.42,34.0,46.0,171.9,5.62,1.21
241,30.42,34.0,46.0,162.17,7.87,1.2
242,30.42,34.0,46.0,163.11,5.62,1.19
243,30.42,34.0,46.0,170.95,5.62,1.2
244,30.42,33.0,46.0,163.76,5.62,1.22
245,30.42,34.0,47.0,165.12,4.5,1.22
246,30.42,33.0,47.0,164.59,5.62,1.19
247,30.42,32.0,46.0,119.02,3.37,1.2
248,30.42,33.0,46.0,167.67,4.5,1.21
249,30.42,34.0,46.0,159.39,3.37,1.22
250,30.42,34.0,46.0,155.24,4.5,1.23
251,30.42,34.0,46.0,165.86,5.62,1.24
252,30.42,34.0,46.0,155.66,6.75,1.18
253,30.42,36.0,46.0,167.42,6.75,1.19
254,30.42,38.0,46.0,162.37,6.75,1.18
255,30.42,36.0,46.0,161.63,4.5,1.2
256,30.42,37.0,46.0,173.6,6.75,1.21
257,30.42,38.0,46.0,166.46,5.62,1.21
258,30.43,36.0,46.0,167.69,5.62,1.23
259,30.43,34.0,47.0,159.0,6.75,1.23
260,30.43,35.0,47.0,178.01,5.62,1.21
261,30.43,34.0,47.0,155.31,5.62,1.21
262,30.43,34.0,47.0,169.38,6.745,1.21
263,30.43,35.0,47.0,183.45,7.87,1.21
264,30.43,35.0,47.0,186.45,9.0,1.23
265,30.43,36.0,47.0,193.23,9.0,1.21
266,30.43,36.0,47.0,182.88,9.0,1.19
267,30.43,37.0,47.0,182.56,11.25,1.23
268,30.43,37.0,47.0,184.63,10.12,1.22
269,30.43,37.0,47.0,182.22,10.12,1.22
270,30.43,37.0,47.0,185.62,6.75,1.21
271,30.43,36.0,47.0,187.64,10.12,1.21
272,30.43,36.0,47.0,187.26,11.25,1.24
273,30.44,37.0,46.0,179.72,9.0,1.2
274,30.44,38.0,46.0,182.41,5.62,1.2
275,30.44,40.0,46.0,184.47,7.87,1.22
276,30.44,42.0,47.0,193.76,7.87,1.19
277,30.44,39.0,47.0,180.46,4.5,1.22
278,30.44,42.0,47.0,177.78,5.62,1.22
279,30.44,44.0,47.0,156.18,6.75,1.2
280,30.45,46.0,47.0,147.31,4.5,1.21
281,30.45,50.0,47.0,161.37,5.62,1.23
282,30.45,53.0,48.0,178.59,6.75,1.22
283,30.45,58.5,48.0,170.45,5.625,1.2
284,30.45,58.75,48.0,173.92,5.6225,1.205
285,30.45,61.375,48.0,168.115,5.06125,1.2025
286,30.45,64.0,48.0,162.31,4.5,1.2
287,30.46,62.0,48.0,154.54,3.37,1.24
288,30.46,59.0,48.0,177.39,5.62,1.21
289,30.46,58.0,48.0,176.78,3.37,1.21
290,30.46,57.0,48.0,158.75,3.37,1.23
291,30.46,60.0,48.0,137.71,3.37,1.21
292,30.46,62.0,48.0,104.95,5.62,1.17
293,30.46,64.0,48.0,120.2,5.62,1.21
294,30.46,72.0,49.0,112.45,6.75,1.2
295,30.46,71.0,49.0,122.97,5.62,1.24
296,30.46,80.0,49.0,101.18,4.5,1.23
297,30.46,85.0,49.0,141.87,4.5,1.21
298,30.47,93.0,49.0,120.55,2.25,1.23
299,30.47,98.0,49.0,144.19,3.37,1.21
300,30.47,99.0,49.0,139.8,6.75,1.22
301,30.47,99.0,50.0,140.92,2.25,1.21
302,30.47,99.0,50.0,147.61,5.62,1.23
303,30.47,99.0,50.0,113.78,4.5,1.22
304,30.47,99.0,50.0,123.03,10.12,1.21
305,30.47,99.0,50.0,173.73,6.75,1.22
306,30.47,98.0,50.0,91.43,6.75,1.22
307,30.47,98.0,50.0,109.74,6.75,1.2
308,30.47,98.0,50.0,143.53,2.25,1.2
309,30.47,97.0,50.0,146.76,5.62,1.2
310,30.47,97.0,50.0,158.35,4.5,1.21
311,30.47,97.0,50.0,166.05,5.62,1.22
312,30.47,96.0,50.0,151.82,5.62,1.22
313,30.47,96.0,50.0,152.52,6.75,1.22
314,30.47,95.0,50.0,127.82,7.87,1.24
315,30.47,95.0,50.0,157.58,6.75,1.23
316,30.47,95.0,50.0,172.96,7.87,1.23
317,30.47,95.0,50.0,143.82,6.75,1.23
318,30.47,94.0,50.0,154.03,5.62,1.24
319,30.47,93.0,50.0,165.93,4.5,1.2
320,30.47,93.0,50.0,139.82,7.87,1.24
321,30.47,93.0,49.0,166.07,9.0,1.21
322,30.47,93.0,50.0,116.16,5.62,1.24
323,30.47,92.0,50.0,157.48,4.5,1.2
324,30.47,91.0,50.0,112.27,7.87,1.19
325,30.47,90.0,50.0,133.69,6.75,1.25
326,30.47,88.0,50.0,140.64,6.75,1.25
327,30.47,87.0,50.0,52.89,1.12,1.23
328,30.47,86.0,50.0,132.66,4.5,1.21
329,30.46,85.0,50.0,138.35,5.62,1.25
330,30.46,84.0,50.0,109.87,3.37,1.23
331,30.47,81.0,50.0,123.25,3.37,1.23
332,30.46,75.0,50.0,158.64,4.5,1.26
333,30.46,70.0,50.0,165.22,5.62,1.17
334,30.46,63.0,50.0,160.51,3.37,1.22
335,30.46,51.0,50.0,155.36,4.5,1.22
336,30.46,47.0,50.0,157.78,6.75,1.22
337,30.46,46.0,50.0,151.6,3.37,1.24
338,30.46,47.0,50.0,105.78,4.5,1.25
339,30.46,48.0,50.0,135.55,4.5,1.19
340,30.46,56.0,50.0,140.92,4.5,1.19
341,30.46,57.0,50.0,165.0,4.5,1.23
342,30.46,55.0,51.0,126.63,3.37,1.19
343,30.46,54.0,51.0,119.97,4.5,1.23
344,30.45,53.0,51.0,95.57,2.25,1.22
345,30.45,51.0,51.0,100.02,4.5,1.24
346,30.45,51.0,51.0,111.73,2.25,1.24
347,30.45,52.0,51.0,145.77,5.62,1.23
348,30.45,51.0,51.0,105.89,6.75,1.23
349,30.45,52.0,51.0,120.86,5.62,1.24
350,30.44,55.0,51.0,170.11,5.62,1.23
351,30.44,55.0,52.0,107.15,5.62,1.21
352,30.44,55.0,52.0,129.29,6.75,1.24
353,30.45,59.0,52.0,158.73,3.37,1.18
354,30.44,59.0,52.0,211.38,2.25,1.52
355,30.44,61.0,53.0,174.97,4.5,5.07
356,30.44,62.0,53.0,120.78,7.87,6.16
357,30.44,59.0,53.0,118.82,5.62,6.63
358,30.44,59.0,54.0,154.16,4.5,10.96
359,30.44,57.0,55.0,58.42,6.75,19.42
360,30.44,53.0,55.0,47.86,4.5,27.14
361,30.44,52.0,56.0,74.56,2.25,33.75
362,30.44,49.0,56.0,25.72,6.75,49.57
363,30.44,50.0,56.0,102.11,2.25,59.62
364,30.44,48.0,56.0,67.49,3.37,87.23
365,30.43,49.0,56.0,180.29,2.25,109.93
366,30.43,57.0,57.0,150.2,2.25,130.82
367,30.43,55.0,57.0,47.3,5.62,160.52
368,30.43,52.0,58.0,333.81,1.12,191.37
369,30.43,49.0,58.0,41.62,4.5,207.05
370,30.43,45.0,58.0,132.36,5.62,240.99
371,30.43,41.0,58.0,332.09,4.5,274.83
372,30.43,55.0,58.0,45.88,3.37,300.94
373,30.43,56.0,58.0,94.24,7.87,322.71
374,30.43,50.0,58.0,81.57,6.75,346.59
375,30.43,49.0,58.0,351.03,7.87,364.18
376,30.43,51.0,58.0,78.81,5.62,368.35
377,30.43,46.0,58.0,85.96,5.62,362.84
378,30.43,48.0,59.0,19.78,4.5,423.9
379,30.43,59.0,58.0,18.26,4.5,457.69
380,30.43,52.0,58.0,69.08,3.37,511.38
381,30.43,52.0,58.0,40.87,4.5,566.83
382,30.43,49.0,58.0,0.13,4.5,187.96
383,30.43,58.0,59.0,27.34,9.0,310.59
384,30.43,46.0,59.0,359.93,3.37,230.26
385,30.43,46.0,60.0,22.18,7.87,623.31
386,30.43,48.0,60.0,4.38,10.12,312.1
387,30.43,44.0,60.0,355.03,7.87,803.72
388,30.42,47.0,60.0,0.4,7.87,671.97
389,30.42,51.0,60.0,53.16,4.5,670.32
390,30.42,48.0,60.0,353.87,9.0,679.73
391,30.43,54.0,60.0,2.04,4.5,687.62
392,30.42,53.0,61.0,34.85,11.25,697.66
393,30.42,44.0,61.0,11.08,7.87,716.27
394,30.43,50.0,61.0,1.6,5.62,744.43
395,30.42,53.0,61.0,345.21,7.87,612.34
396,30.42,50.0,61.0,165.42,4.5,760.9
397,30.42,57.0,61.0,30.3,6.75,773.71
398,30.42,59.0,61.0,34.24,3.37,790.08
399,30.42,59.0,61.0,19.11,7.87,804.28
400,30.42,53.0,61.0,84.61,6.75,818.82
401,30.42,51.0,62.0,31.88,5.62,855.63
402,30.42,58.0,62.0,149.48,3.37,875.16
403,30.42,54.0,62.0,62.54,3.37,867.9
404,30.43,58.0,62.0,39.59,5.62,872.67
405,30.43,50.0,62.0,122.13,4.5,890.52
406,30.48,52.0,62.0,93.6,6.185,900.79
407,30.43,53.0,62.0,65.07,7.87,911.06
408,30.43,49.0,62.0,69.79,7.87,925.16
409,30.43,47.0,62.0,346.87,5.62,933.15
410,30.43,53.0,62.0,359.93,5.62,942.73
411,30.43,50.0,62.0,9.92,4.5,955.74
412,30.43,54.0,62.0,19.98,9.0,959.47
413,30.43,57.0,62.0,0.9,6.75,970.22
414,30.43,54.0,62.0,19.13,11.25,974.87
415,30.44,53.0,62.0,61.93,7.87,985.22
416,30.43,50.0,62.0,63.35,10.12,992.19
417,30.44,56.0,62.0,171.18,7.87,997.26
418,30.44,54.0,62.0,45.65,7.87,1004.6
419,30.44,54.0,63.0,15.92,11.25,1007.96
420,30.44,54.0,63.0,130.14,9.0,1013.59
421,30.44,51.0,62.0,21.54,10.12,1020.55
422,30.44,45.0,62.0,70.89,15.75,1025.63
423,30.45,46.0,63.0,59.62,12.37,1029.41
424,30.45,43.0,63.0,79.08,7.87,1034.46
425,30.45,43.0,63.0,359.46,5.62,1033.54
426,30.45,40.0,63.0,59.89,4.5,1039.06
427,30.45,39.0,63.0,40.66,6.75,1039.67
428,30.46,41.0,64.0,20.44,14.62,1037.76
429,30.45,41.0,64.0,40.4,13.5,1039.52
430,30.45,41.0,63.0,117.62,4.5,1040.14
431,30.46,42.0,63.0,354.78,1.12,1039.22
432,30.46,41.0,63.0,35.68,4.5,1035.99
433,30.46,39.0,63.0,350.0,5.62,1033.49
434,30.46,41.0,63.0,14.63,9.0,1029.15
435,30.46,41.0,63.0,349.53,2.25,1025.51
436,30.46,41.0,63.0,31.9,9.0,1023.78
437,30.47,37.0,63.0,339.83,3.37,1017.57
438,30.47,34.0,63.0,67.14,11.25,1013.93
439,30.47,34.0,63.0,61.67,9.0,1009.36
440,30.47,33.0,63.0,32.74,6.75,1002.89
441,30.47,31.0,63.0,4.51,6.75,999.19
442,30.47,36.0,62.0,38.9,10.12,987.02
443,30.47,40.0,63.0,28.85,7.87,981.66
444,30.47,35.0,63.0,114.97,5.62,973.79
445,30.47,37.0,63.0,60.94,6.75,964.46
446,30.47,40.0,62.0,37.85,7.87,957.02
447,30.47,44.0,62.0,38.03,11.25,946.32
448,30.47,45.0,62.0,37.37,11.25,933.08
449,30.47,43.0,62.0,10.44,5.62,926.79
450,30.47,42.0,62.0,5.51,11.25,915.84
451,30.47,42.0,62.0,24.74,9.0,901.65
452,30.47,46.0,61.0,37.67,7.87,899.53
453,30.47,49.0,62.0,61.93,7.87,878.76
454,30.47,44.0,61.0,359.93,6.75,867.98
455,30.47,41.0,62.0,26.99,7.87,855.89
456,30.47,42.0,61.0,21.37,9.0,841.52
457,30.47,38.0,62.0,52.73,10.12,830.19
458,30.47,39.0,62.0,61.67,6.75,815.1
459,30.47,41.0,62.0,42.59,5.62,799.29
460,30.47,41.0,61.0,37.83,7.87,785.6
461,30.47,45.0,61.0,7.14,7.87,768.39
462,30.47,44.0,61.0,186.9,4.5,754.06
463,30.47,43.0,61.0,7.25,7.87,738.75
464,30.46,44.0,61.0,33.19,11.25,722.23
465,30.46,44.0,61.0,56.91,6.75,706.41
466,30.46,45.0,61.0,70.29,3.37,686.3
467,30.46,49.0,60.0,16.18,9.0,669.11
468,30.46,47.0,61.0,52.76,2.25,652.51
469,30.46,41.0,61.0,14.96,6.75,634.99
470,30.46,31.0,61.0,19.08,7.87,617.87
471,30.46,34.0,61.0,0.1,2.25,597.41
472,30.46,31.0,61.0,24.56,4.5,578.24
473,30.46,35.0,60.0,41.61,1.12,559.23
474,30.46,37.0,60.0,31.05,3.37,538.41
475,30.46,41.0,60.0,25.35,4.5,519.16
476,30.45,40.0,60.0,3.77,3.37,499.21
477,30.45,40.0,60.0,17.86,3.37,478.48
478,30.45,40.0,59.0,74.63,1.12,458.27
479,30.45,45.0,59.0,64.84,2.25,438.05
480,30.44,30.0,60.0,53.32,5.62,416.28
481,30.44,31.0,59.0,75.7,3.37,395.14
482,30.44,34.0,58.0,58.43,2.25,373.7
483,30.43,34.0,57.0,113.5,1.12,352.56
484,30.43,36.0,55.0,130.01,1.12,329.17
485,30.43,38.0,54.0,146.52,1.12,305.78
486,30.43,42.0,52.0,142.16,2.25,278.29
487,30.43,44.0,51.0,151.94,2.25,251.51
488,30.43,46.0,50.0,143.23,4.5,222.48
489,30.43,47.0,49.0,172.83,3.37,164.44
490,30.43,48.0,48.0,176.93,4.5,21.36
491,30.42,50.0,48.0,182.88,5.62,20.0
492,30.42,51.0,48.0,173.07,7.87,19.24
493,30.42,53.0,47.0,191.44,7.87,18.33
494,30.42,54.0,47.0,193.99,9.0,17.31
495,30.42,55.0,47.0,190.38,10.12,16.09
496,30.42,56.0,47.0,179.45,10.12,14.73
497,30.42,57.0,47.0,188.58,6.75,12.53
498,30.42,57.0,47.0,188.37,7.87,9.86
499,30.41,58.0,47.0,192.09,7.87,7.7
500,30.41,61.0,47.0,157.11,7.87,6.17
501,30.41,62.0,47.0,177.65,6.75,4.32
502,30.41,62.0,47.0,187.76,7.87,2.34
503,30.41,61.0,47.0,185.73,7.87,1.47
504,30.41,60.0,47.0,184.95,9.0,1.21
505,30.41,59.0,47.0,182.07,9.0,1.23
506,30.41,58.0,46.0,184.89,10.12,1.24
507,30.4,59.0,46.0,190.62,7.87,1.23
508,30.4,58.0,46.0,188.4,7.87,1.21
509,30.4,58.0,46.0,193.81,5.62,1.21
510,30.4,56.0,45.0,191.32,6.75,1.22
511,30.4,56.0,45.0,184.3,5.62,1.22
512,30.4,55.0,45.0,174.74,4.5,1.2
513,30.4,55.0,45.0,184.56,6.75,1.2
514,30.4,55.0,46.0,165.66,6.75,1.16
515,30.4,53.0,46.0,177.23,4.5,1.15
516,30.4,51.0,46.0,173.92,4.5,1.18
517,30.4,50.0,46.0,174.53,5.62,1.18
518,30.4,50.0,46.0,163.85,3.37,1.18
519,30.4,49.0,46.0,166.26,4.5,1.19
520,30.39,49.0,46.0,176.34,3.37,1.18
521,30.39,48.0,46.0,170.62,5.62,1.2
522,30.39,47.0,46.0,176.8,3.37,1.17
523,30.39,47.0,46.0,170.45,4.5,1.17
524,30.39,45.0,46.0,180.3,3.37,1.18
525,30.39,45.0,46.0,187.66,6.75,1.21
526,30.39,45.0,46.0,173.01,5.62,1.17
527,30.39,45.0,46.0,178.75,5.62,1.18
528,30.39,47.0,46.0,171.85,6.75,1.19
529,30.39,47.0,46.0,189.46,6.75,1.18
530,30.39,48.0,46.0,169.78,5.62,1.2
531,30.39,50.0,46.0,183.99,6.75,1.22
532,30.39,52.0,46.0,173.17,5.62,1.21
